track_id,track_name,artist_name,album_name,genres,emotions,instrumentals
1,нөлөөллөөс дээгүүрт,татар,нөлөөллөөс дээгүүр,"chillout,easylistening,electronic,indie,popfolk,reggae,techno","dream,energetic,inspiring,melodic,movie,sad,space,uplifting","bass,sampler"
2,дуулах дуртай,татар,нөлөөллөөс дээгүүр,"electronic,funk,hiphop,instrumentalpop,reggae","energetic,funny,inspiring,melodic,party,summer","beat,bongo,computer"
3,чинийх,татар,нөлөөллөөс дээгүүр,"ambient,chillout,drumnbass,electronic,industrial,reggae,techno","ambiental,christmas,commercial,energetic,inspiring,melodic,powerful,sport","keyboard,sampler"
4,чат,татар,нөлөөллөөс дээгүүр,"dub,electronic,reggae,techno","deep,dream,energetic,happy,inspiring,melodic,party,summer","bass,beat,sampler"
5,санахгүй юм байна,татар,нөлөөллөөс дээгүүр,"electronic,experimental,funk,reggae,techno","christmas,dream,inspiring,summer","bongo,electricguitar,keyboard"
6,би чиний хайр,татар,нөлөөллөөс дээгүүр,"drumnbass,electronic,experimental,pop,reggae","christmas,dream,energetic,happy,inspiring,melodic,sport","bass,keyboard,orchestra,sampler"
7,салж амжаагүй хайр,татар,нөлөөллөөс дээгүүр,"electronic,ethno,experimental,instrumentalrock,pop,reggae","adventure,ambiental,dream,happy,inspiring",orchestra
8,electro girl,татар,нөлөөллөөс дээгүүр,"drumnbass,electronic,experimental,techno","dream,energetic,epic,fast,party,sport","bass,computer,sampler"
9,үнэтэй,татар,нөлөөллөөс дээгүүр,"electronic,experimental,pop","christmas,commercial,game,inspiring,melodic","computer,orchestra"
10,нэг удаа,татар,нөлөөллөөс дээгүүр,"dance,electronic,experimental,reggae,techno","christmas,commercial,dream,melodic,party,sport","computer,keyboard"
11,i am so fly,татар,нөлөөллөөс дээгүүр,"chillout,electronic,reggae,rock,trance","energetic,film,inspiring,melodic,soundscape","accordion,drums"
12,love love love,киви,хүсэл,"dubstep,ethnicrock,ethno,folk,instrumentalrock,techno","dream,fast,happy,sexy,soundscape,uplifting","piano,synthesizer"
13,i love you mom,киви,хүсэл,"dance,easylistening,ethno,lounge,world","dramatic,dream,happy,melodic,romantic","flute,piano"
14,supertitious ft наранзун,киви,хүсэл,"dance,electronic,house,techno","inspiring,love,melodic,party","drummachine,piano"
15,хоёр дахь хүн чинь баймааргүй байна,киви,хүсэл,"electronic,experimental,pop,techno","christmas,dream,energetic,happy,holiday,melodic,upbeat,uplifting","drummachine,orchestra,synthesizer"
16,панаалтай залуу ft undak,киви,хүсэл,"experimental,hiphop,reggae","christmas,happy,melodic,powerful,upbeat,uplifting","acousticguitar,computer"
17,нууцхан хайр,киви,хүсэл,"experimental,fusion,poprock,triphop","christmas,dream,epic,happy",piano
18,2 шөнө 3 өдөр,киви,хүсэл,"easylistening,electronic,ethno,reggae,trance","game,happy,melodic,soundscape,upbeat,uplifting",synthesizer
19,love love love-instrument,киви,хүсэл,"electronic,ethno,folk,jazz,pop,popfolk","commercial,dream,happy,uplifting","acousticguitar,synthesizer"
21,итгэл,s&i,s&i double цомог 1,"electronic,experimental,industrial,latin,pop","cool,dream,inspiring,summer,upbeat","bongo,synthesizer"
22,амин хайр ft дэлгэрмөрөн,s&i,s&i double цомог 1,"electronic,poprock,psychedelic,reggae","dream,energetic,fun,motivational,soft,uplifting",beat
23,i'm happy man,s&i,s&i double цомог 1,"blues,easylistening,electronic,experimental,hiphop,industrial","christmas,dream,inspiring,melodic,movie","clarinet,orchestra,synthesizer"
25,tears of love,s&i,s&i double цомог 1,"ambient,electronic,funk","dream,inspiring,melodic,motivational,party,retro,soft","beat,clarinet"
26,чамдаа л хайртай,s&i,s&i double цомог 1,"chillout,electronic,jazz,reggae,techno","cool,dream,fun,melodic,motivational,relaxing,upbeat","bongo,drums"
27,хайр гэж юу вэ ft номинжин,s&i,s&i double цомог 1,"electronic,ethno,experimental,industrial,pop","children,christmas,dream,inspiring,love","classicalguitar,synthesizer"
28,my baby,s&i,s&i double цомог 1,"breakbeat,easylistening,electronic,hiphop,psychedelic,reggae","dream,fast,fun,relaxing,uplifting","beat,bongo"
30,"савчаад, цавчаад, үсчээд",s&i,s&i double цомог 1,"easylistening,electronic,experimental,industrial,pop","christmas,dream,melodic,upbeat",bongo
31,намайг сэргээсэн хайр ft oj [remix],s&i,s&i double цомог 1,"electronic,hiphop,jazz,reggae","documentary,dream,inspiring,melodic,upbeat","beat,bongo,computer"
32,thanks,s&i,s&i double цомог 1,"african,ambient,chillout,electronic,ethno,funk,minimal","ambiental,cool,dream,motivational,party,relaxing,soft,upbeat","beat,drummachine"
33,pretty girl ft салхи,s&i,s&i double цомог 1,"ambient,blues,electronic,jazz,popfolk,psychedelic","dream,inspiring,melodic,retro","acousticbassguitar,drummachine,electricpiano"
34,хайр гэж юу вэ [instrumental],s&i,s&i double цомог 1,"electronic,ethno,experimental,industrial","cool,dream,film,inspiring,melodic","bongo,synthesizer"
35,intro,no name,зам заяа,"club,electronic,newage","dream,melodic,relaxing",computer
36,бүхнийг би цэглэнэ (soundtrack),no name,зам заяа,"darkambient,drumnbass,electronic,instrumentalpop,newage,soundtrack,techno","christmas,documentary,dream,love,melodic,relaxing,sexy,soundscape","computer,synthesizer"
37,хоёулаа,no name,зам заяа,"electronic,experimental,newage,pop","advertising,fun,melodic,upbeat","beat,guitar"
38,найз охиндоо (skit),no name,зам заяа,"ambient,blues","dream,epic,melodic",computer
39,найз охиндоо,no name,зам заяа,"electronic,hiphop,trance,triphop,world","adventure,dream,emotional,film,happy,melodic,soft,upbeat","bongo,piano"
40,тавалвал,no name,зам заяа,"drumnbass,easylistening,electronic,newage,psychedelic,techno","documentary,dream,holiday,relaxing,soundscape","beat,computer,drummachine"
41,найз,no name,зам заяа,"ambient,chillout,drumnbass,easylistening,electronic,ethnicrock,popfolk,techno,trance","dream,emotional,inspiring,melodic,relaxing","computer,keyboard"
42,мөнх биш ус,no name,зам заяа,"electronic,industrial,metal,trance","advertising,dark,dream,melodic,relaxing,soundscape",computer
43,зам заяа,no name,зам заяа,"alternative,atmospheric,drumnbass,electronic,indie,world","commercial,dream,epic,film,melodic","beat,keyboard,synthesizer"
44,хөөрхөн охин,no name,зам заяа,"dubstep,electronic,hiphop,instrumentalpop,jazz,pop,rnb","dark,dream,epic,fun,melodic,motivational,relaxing,sad",drummachine
45,уучилсан,no name,зам заяа,"electronic,ethno,jazz,newage,pop,soundtrack","dream,film,melodic,relaxing,space","computer,drummachine"
